name,price,ean
K-citymarket muovikassi 40l valkoinen,0.2,6430024140972
Fazer rukiinen riisipiirakka 6 kpl 420g,2.15,6413466015305
Lotus soft embo wc-paperi 16rll perhepak,6.59,6413200330404
Saarioinen kana-nuudeliruukku 300g,2.99,6412000032426
Kulta Katriina kahvi 450g sj luomu,3.45,6420101146447
Veikkausmyynti,0.0,2000985500005
Juhla Mokkakahvi 500g sj,3.95,6411300000494
Eskimo pullavuoka 150kpl,2.35,6418400067792
Ehrmann proteiinivanukas 200g suklaa,1.55,4002971301601
Pirkka rasvaton maito 1 l,0.59,6410405082626
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
Pirkka lihaisa nakki 300g kuoreton TK,1.39,6410405132031
Saarioinen vadelma-vaniljakiisseli 200g,1.75,6412000033133
Pirkka kevytmaito 1 l,0.81,6410405082657
,,6416021000389
Valio Oltermanni 250g,2.39,6408430339556
Valio kevytmaito 1l,0.99,6408430000128
"Saku Dublin Stout 4,2% 0,5l klp",3.19,4740019123081
Makuliha Aito lauantaimak 170g siiv,2.95,6405053007374
Pirkka ESSI kiertokassi valkoinen 40l,0.2,6410405187734
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
"Karjala olut 4,5% 0,33l tlk 8-pack",11.04,6413605142152
Valio pehmeä maitorahka 250 g,0.79,6408430042081
Blå Band Hawaian pata-aines 195g,2.25,7322550038313
Arla Ihana Rahka 200g mango lton,1.75,6413300017649
Bliw nestesaippua 300ml Mustikka pumppu,1.79,7310618427032
Pirkka tee 20x3g ruusunmarja,1.59,6410400034354
Maustekurkku Herkkumaa,3.95,2000218500000
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
Sunnuntai leivontamargariini 500g lton,1.85,6438207011774
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
Valio Hyvä suom Arki maitojuoma 1l rton,0.79,6408430000432
Ristikko Leijona ristikkolehti,2.95,6414887010603
Santa Maria tilli 7g,0.69,7311311004544
Fazer hedelmäpastilli ksylitol 20g muumi,0.59,6411401037160
Pirkka piparkakku 350g,1.69,6410405085757
"Valio ruokakerma 3,3dl 10% lkton",2.29,6408430014415
Valio kevytmaito 1l,0.99,6408430000128
Koskenlaskija lev sulatejuusto 200g,3.09,6408430337279
Pullopantti KLP kaikki tilavuudet kpl,0.1,6408640995924
Vivo kulho 2 kpl valkoinen,5.0,4003686298903
Pouttu savukuutio 230g pss,1.5,6409710007912
Karl Fazer tummasuklaapatukka 39g,0.68,6411401019081
Shampion,0.99,2000554900007
Santa MariaTex Mex Soft Tortilla 320g,1.75,7311310033125
error,,64027166
Bliw pumppunestesaippua 300ml Keittiö,1.79,7310618429036
Atria lauantaimakkara 225g,0.99,6407870070333
Arla Lempi ruokakerma 2dl lton 15%,0.99,6413300019001
Valio Hyvä suom Arki maitojuoma 1l rton,0.79,6408430000432
Veikkausmyynti,0.0,2000985500005
"Valio ruokakerma2,5dl kolme juustoa",2.09,6408430014798
Pirkka laktoositon kevytmaitojuoma 1 l,1.2,6410405095893
"Paistopiste hintaryhmä: 0,79",0.0,6410405142269
,,6411090040427
error,,70177078966
,,6406095190000
Pirkka broilerin ohut leike hunajam 420g,4.09,6410405127112
K-Menu merisuola 1kg,0.59,6410405140692
Sidoste N pörrösukat 31079 mus 36-38,6.0,6436923062261
Pirkka wc-paperi 6rl kuvioitu,2.49,6410405132789
Fazer suklaapatukka 37g vadelmajogurtti,0.68,6411401019043
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
Pirkka Costa Rica kahvi 500g sj UTZ,2.89,6410405181190
,,6430030290265
Pirkka täysmaito 1l vlakt uht,1.49,6410405153708
Oivariini 400g normaalisuolainen,2.65,6408430030316
HK naudan jauheliha 17% 1kg,10.2,6409100037444
HK kultapaahd. murea broileri 180g,2.75,6409100052072
"Valio rasvaton maito 0,5l hyla UHT",0.99,6408430011636
Juhla Mokka kahvi 500g tummapaahto hj,3.95,6411300164653
PullaPirtti perunarieskaset 6kpl/270g,0.0,6438706017062
HK burgeri 100g,0.59,6409100077884
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
Pirkka side 16kpl ultra normal,1.49,6410405146182
Palsternakka pakattu,4.9,2000507000006
Atria gotlermakkara 300g viip,1.75,6407870071224
"Tölkkipantti 0,15 0,33l-0,5l",0.15,2000973900008
Snellman kunnon naudanlihanakki 320g,3.99,6409620010019
Nivea creme ihovoide 75ml,2.15,7319470801035
Fazer Sininen ja Valkoinen patukka 38g,0.68,6411401019067
Pirkka kreikk jog hillolla 150g mansikka,0.85,6410405118479
West savuke 25kpl Blue,7.8,6410105904990
Valio Eila kermavanukas 120 g vadelma,1.15,6408430044047
Fazer Marianne suklaakeksi 192g,1.95,6416453072343
Findus vaniljapulla 400g,3.35,7310500106847
Päärynä Conference Pirkka,1.99,2000796900001
Tomaatti Dunne Marzano 230g,2.99,6416075931332
Pullopantti KLP kaikki tilavuudet kpl,0.1,6408640995924
Panda lakritsi 140g orginal,1.25,6412500077408
Atria rehti lihaisa nakki 280g,1.75,6407870074423
K-Menu emmentaljuustoraaste 250g,1.85,6410405136596
Pirkka kevytmaito 1 l,0.81,6410405082657
K-citymarket muovikassi 40l valkoinen,0.2,6430024140972
Atria lenkki 500g punainen,2.35,6407870074218
Risella puuroriisi 1kg,2.09,8410184010191
Puikulaperuna,1.89,2000617800008
"Valio kuohukerma 3,3dl lkton",2.85,6408430014477
,,6413300015225
,,2358669200001
Valio kermaviili 200g hyla,0.89,6408430004119
"Tölkkipantti 0,15 0,33l-0,5l",0.15,2000973900008
K-Menu pehmeä maitorahka 500g rasvaton,0.95,6410405143662
"Pirkka klementiini 1,5kg",2.99,6410405045010
"Pirkka III-olut 0,33l 4,5% tlk SI",0.93,6410405091260
Kiivihedelmä,5.29,2000576700005
Serla talouspaperi 8rl puoliarkki,3.9,6414300058281
Saarioinen härkäruukku 300g,2.99,6412000032402
Valio vapaan lehmän täysmaito 1l,1.25,6408430000135
Kivikylä kauppiaan Wienerleike 560g TK,5.95,6406300016095
Hätälä lohifilee A Norja vac,12.95,2387975700004
Panda kauralakritsi 140g,1.25,6412500077415
Omar pussi 220g,2.69,6411401035890
Maggi mix lihapulla-ainekset 90g,1.65,4005500077305
Novita 7V Raita 150g 856 karkki,6.0,6412612728564
Vaasan ruispalat 12kpl/660g,1.69,6437002001454
Karl Fazer maitosuklaapatukka 39g,0.68,6411401019012
Naudan paistijauheliha 7 % Suomi,13.9,2000190700009
Vaasan maalaisviipaleet 500g,1.59,6437005031298
Valio glögi 1l sokeroimaton,1.89,6408430064687
Benecol 450g oliivi kasvirasvalevite 50%,5.69,6411200108504
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
Pirkka appelsiinitäysmehu 1l,0.95,6410405192158
Pirkka virike kananmuna M10 580g,1.55,6410405085627
Fazerina suklaapatukka 37g,0.64,6411401019098
Halloween suklaasateenvarjotikkari 15g,0.99,8421699222146
Bioska jätepussi 10l 15kpl,2.15,6414630020101
,,6411090041066
Geisha suklaalevy 100g,1.55,6411401015908
K-Menu appelsiinileivoskeksi 300g,0.99,6410405140548
Valio kevytmaito 1l,0.99,6408430000128
Pirkka Banaani/Del monte 1lk,1.39,2000818700008
Kulta Katriina kahvi 500g sj tummapaahto,3.45,6420101145549
Punasipuli irto,1.79,2000623600005
Pirkka maapähkinä-rusinasekoitus 150g,1.19,6410405115140
Valio Eila kevytmaitojuoma 1l lakton,1.99,6408430000258
Pouttu savukuutio 230g pss,1.5,6409710007912
Pirkka pyykinpesuneste 1l sensitive,2.65,6410405135612
Juhla Mokkakahvi 500g sj,3.95,6411300000494
,,6414270126812
Gefilus hedelmämehu 1l 5-hedelmää,2.19,6408430064885
Kulta Katriina kahvi 500g sj,3.45,6420101441542
Risella puuroriisi 1kg,2.09,8410184010191
Philadelphia tuorejuusto 200g original,1.95,4000339697908
,,6403016855246
K-Menu maitosuklaakerroskeksi 125g,0.85,6410405145697
Läkerol Classic pastilli 25g Cactus,1.15,7310350118496
Fazer Real 420g ruis täysjyväruisleipä,1.99,6411402117700
K-menu siivousliina 10kpl,1.79,6410405165121
Vesimeloni ulkomainen,1.79,2000529900001
Vaasan ruispalat ohut herkku 12kpl /390g,2.39,6408180733901
Järvikylä villirucolasalaatti rkk Fi 1lk,1.69,6416046653317
,,6430017805000
Tomaatti Dunne Marzano 230g,2.99,6416075931332
Juhla Mokkakahvi 500g sj,3.95,6411300000494
Pirkka kaalikääryle 350g,3.39,6410405203106
PROFIT proteiinivanukas 150g toffee,1.19,6417777051021
"Pirkka kivennäisvesi 1,5l kmp",0.75,6410405069085
Valio Eila kermaviili 200 g laktoositon,1.29,6408430040308
,,6430024140484
"K-menu 1,5l appelsiinijuomatiiviste",4.09,6410405120007
Pirkka Parhaat kirnuvoi 200g laktoositon,1.99,6410405183545
Satsuma,1.89,2000528000009
Boy sipulisilli 580/250g MSC,3.75,6431600010542
,,6438706178244
Pirkka täysmaito 1 l,1.07,6410405113559
Yleisperuna harjattu,0.69,2000681000007
Pirkka paprika 300g 2kpl,1.59,6410405046109
"Pirkka klementiini 1,5kg",2.99,6410405045010
Lotus Nessu nenäliina 6x10kpl Sensitive,1.29,7322540740776
Ilta-Sanomat sanomalehti,2.9,6414880021057
Fazer Pure dark 70% suklaalevy 95g mint,2.65,6416453018778
Lanttu palat,2.99,2000650900000
Pirkka piparkakku 350g,1.69,6410405085757
Pirkka ESSI kiertokassi valkoinen 40l,0.2,6410405187734
Melitta suodatinpaperi 1x2/40 ruskea,2.25,4006508123094
Halloween suklaakolikot pussi 72g,1.79,6420224230788
"Tölkkipantti 0,15 0,33l-0,5l",0.15,2000973900008
Nestle NAN H.A.1 äidinmaidonkorvik 200ml,0.69,7613033507427
Pirkka vadelma-mustikkakakku 240g,3.99,6410405185976
MK kultamuna M10 53-63g 580g vapaa,1.69,6431005105805
FIT rahka 200g maustamaton lakton,0.99,6417777042302
Pirkka kahvikuppi 175ml 50kpl Viiri,2.9,6410405181947
,,6438706835543
Pirkka jääsalaatti 100g pussi Suomi 1lk,1.25,6410405093677
K-Menu luumu 200g kivetön,1.15,6410405153326
Tomaatti Suomi,2.75,2000614400003
Valio Polar® Alkuperäinen 15 % e300 g vi,3.99,6408430036431
Pirkka grillimakkara 400g,1.85,6410405087591
Saarioinen lihaperunasoselaatikko 350g,1.99,6412000030668
Pirkka kevytmaito 1 l,0.81,6410405082657
Pirkka muovikassi 40l valkoinen,0.2,6410405067258
K-menu tomaatti Puola,1.49,2000642400006
Valio kermaviili 200g,0.75,6408430004010
,,6416021000389
Salaattiannos itsepalvelu,14.9,2000265000003
Apetit perunamuusi 350g,2.15,6430104926502
Philadelphia tuorejuusto 200g original,1.95,4000339697908
Saarioinen pinaattikeitto 300g,1.99,6412000031856
"Pirkka III-olut 0,33l 4,5% tlk SI",0.93,6410405091260
Pirkka porkkana 1kg Suomi 1lk,1.15,6410402008896
K-Menu kananmuna M10 580g,1.35,6410405148094
Valio Eila maitojuoma 1l lakton rton,1.95,6408430000241
Arla jogurtti 200g sitruuna,0.4,6413300019865
West savuke 20kpl Blue,6.2,6410105904358
Päärynä Conference Pirkka,1.99,2000796900001
Chiquita Banaani 1lk,1.69,2000503600002
Valio Eila viili 1% 200g mton lakton,0.79,6408430004539
Blå Band Italian pata-aines 150g,2.25,7322550038306
Fazer Domino täytekeksi 175g original,2.15,6416453074071
Pirkka kermajuusto 900g 17% lakton,3.79,6410405102515
Pirkka karjalanpaisti 800g suomalainen,6.99,6410405112415
,,6416021000389
Merlyn juhlaleggarit 4472030 D S,8.0,6419230183775
Vaasan maalaisviipaleet 500g,1.59,6437005031298
Elovena annospuuro 210g valkosukl-mansik,2.35,6411200108429
Pirkka grillimakkara 400g,1.85,6410405087591
K-Menu nauta-sika lihavalmiste 400g,2.59,6410405165251
error,,64025575
Becel pro.activ 450g kevyt 35%,5.99,8712100876974
Röstiperunat Kotikeittiö,12.9,2000293800002
Pirkka sokeri 1kg,0.69,6410405040817
Saarioinen lasagne 300g,2.59,6412000030576
Felix kurpitsasalaatti 380/250g,2.65,6424908114814
Marlboro savuke 20kpl Gold,7.1,7622100938200
,,6411090040465
Kaali-porkkana-purjo mix 200g,1.79,6416054154004
,,6416274393825
Bio Luvil Classic pyykinpesuneste 1l,2.0,6415330006631
Pirkka ruokakerma 15% 2 dl laktoositon,0.55,6410405093448
Pirkka laktoositon kevytmaitojuoma 1 l,1.2,6410405095893
Pirkka laktoositon kevytmaitojuoma 1 l,1.2,6410405095893
Juhla Mokkakahvi 500g sj,3.95,6411300000494
Valio vad-persik keitto 1KG +kuitu,2.39,6408430062034
Pirkka kevytmaito 1 l,0.81,6410405082657
Arla Ihana Rahka 200g mango lton,1.75,6413300017649
Rypäle vihreä 500g,1.99,6006258002388
Porkkana pesty 1lk,1.49,2000610500004
